player,position,team,is_active,year_signed,years,value,apy,player_page,otc_id,height,weight,college,draft_year,draft_round,draft_overall,draft_team
Jacob Martin,ED,Jets,TRUE,2022,3,13500000,4500000,https://overthecap.com/player/jacob-martin/7071/,7071,"6'2""",250,Temple,2018,6,186,Seahawks
Frankie Luvu,ED,Panthers,TRUE,2022,2,9000000,4500000,https://overthecap.com/player/frankie-luvu/7245/,7245,"6'3""",235,Washington State,2018,NA,NA,Jets
Rashan Gary,ED,Packers,TRUE,2019,4,15877312,3969328,https://overthecap.com/player/rashan-gary/7803/,7803,"6'5""",283,Michigan,2019,1,12,Packers
Marcus Davenport,ED,Saints,TRUE,2018,4,13741900,3435475,https://overthecap.com/player/marcus-davenport/6899/,6899,"6'6""",264,UTSA,2018,1,14,Saints
Melvin Ingram,ED,Dolphins,TRUE,2022,1,4000000,4000000,https://overthecap.com/player/melvin-ingram/467/,467,"6'1""",265,South Carolina,2012,1,18,Chargers
Al-Quadin Muhammad,ED,Bears,TRUE,2022,2,8000000,4000000,https://overthecap.com/player/al-quadin-muhammad/5782/,5782,"6'3""",253,Miami,2017,6,196,Saints
Arden Key,ED,Jaguars,TRUE,2022,1,4000000,4000000,https://overthecap.com/player/arden-key/6972/,6972,"6'6""",265,LSU,2018,3,87,Raiders
Jaelan Phillips,ED,Dolphins,TRUE,2021,4,14018206,3504552,https://overthecap.com/player/jaelan-phillips/9482/,9482,"6'5""",266,Miami,2021,1,18,Dolphins
Kwity Paye,ED,Colts,TRUE,2021,4,13644836,3411209,https://overthecap.com/player/kwity-paye/9485/,9485,"6'4""",272,Michigan,2021,1,21,Colts
Mario Addison,ED,Texans,TRUE,2022,2,7700000,3850000,https://overthecap.com/player/mario-addison/1185/,1185,"6'3""",260,Troy,2011,NA,NA,Bears
Brian Burns,ED,Panthers,TRUE,2019,4,13540182,3385046,https://overthecap.com/player/brian-burns/7807/,7807,"6'5""",218,Florida State,2019,1,16,Panthers
Payton Turner,ED,Saints,TRUE,2021,4,12524736,3131184,https://overthecap.com/player/payton-turner/9492/,9492,"6'6""",270,Houston,2021,1,28,Saints
K'Lavon Chaisson,ED,Jaguars,TRUE,2020,4,13344610,3336153,https://overthecap.com/player/klavon-chaisson/8760/,8760,"6'4""",250,LSU,2020,1,20,Jaguars
Lorenzo Carter,ED,Falcons,TRUE,2022,1,3500000,3500000,https://overthecap.com/player/lorenzo-carter/6951/,6951,"6'6""",243,Georgia,2018,3,66,Giants
Jordan Jenkins,ED,Texans,TRUE,2021,2,6000000,3000000,https://overthecap.com/player/jordan-jenkins/4796/,4796,"6'3""",259,Georgia,2016,3,83,Jets
Dennis Gardeck,ED,Cardinals,TRUE,2022,3,10000000,3333333,https://overthecap.com/player/dennis-gardeck/7530/,7530,"6'1""",242,Sioux Falls,2018,NA,NA,Cardinals
Gregory Rousseau,ED,Bills,TRUE,2021,4,11608190,2902048,https://overthecap.com/player/gregory-rousseau/9494/,9494,"6'6""",260,Miami,2021,1,30,Bills
Jermaine Johnson II,ED,Jets,TRUE,2022,4,13087444,3271861,https://overthecap.com/player/jermaine-johnson-ii/10071/,10071,"6'5""",260,Florida State,2022,1,26,Jets
Ogbonnia Okoronkwo,ED,Texans,TRUE,2022,1,3250000,3250000,https://overthecap.com/player/ogbonnia-okoronkwo/7045/,7045,"6'1""",240,Oklahoma,2018,5,160,Rams
Odafe Oweh,ED,Ravens,TRUE,2021,4,11342390,2835597,https://overthecap.com/player/odafe-oweh/9495/,9495,"6'5""",252,Penn State,2021,1,31,Ravens
Montez Sweat,ED,Commanders,TRUE,2019,4,11641260,2910315,https://overthecap.com/player/montez-sweat/7817/,7817,"6'6""",245,Mississippi State,2019,1,26,Commanders
Joe Tryon-Shoyinka,ED,Buccaneers,TRUE,2021,4,11171244,2792811,https://overthecap.com/player/joe-tryon-shoyinka/9496/,9496,"6'5""",262,Washington,2021,1,32,Buccaneers
Jeremiah Attaochu,ED,Bears,TRUE,2021,2,5550000,2775000,https://overthecap.com/player/jeremiah-attaochu/2989/,2989,"6'3""",242,Georgia Tech,2014,2,50,Chargers
Tarell Basham,ED,Cowboys,TRUE,2021,2,5500000,2750000,https://overthecap.com/player/tarell-basham/5666/,5666,"6'4""",269,Ohio,2017,3,80,Colts
Dante Fowler Jr.,ED,Cowboys,TRUE,2022,1,3000000,3000000,https://overthecap.com/player/dante-fowler-jr/3851/,3851,"6'3""",261,Florida,2015,1,3,Jaguars
L.J. Collier,ED,Seahawks,TRUE,2019,4,10836078,2709020,https://overthecap.com/player/l-j-collier/7820/,7820,"6'4""",276,TCU,2019,1,29,Seahawks
George Karlaftis,ED,Chiefs,TRUE,2022,4,11935476,2983869,https://overthecap.com/player/george-karlaftis/10075/,10075,"6'4""",263,Purdue,2022,1,30,Chiefs
Markus Golden,ED,Cardinals,TRUE,2021,2,5000000,2500000,https://overthecap.com/player/markus-golden/3906/,3906,"6'2""",260,Missouri,2015,2,58,Cardinals
Marquis Haynes,ED,Panthers,TRUE,2022,2,5500000,2750000,https://overthecap.com/player/marquis-haynes/7021/,7021,"6'3""",230,Ole Miss,2018,4,136,Panthers
Rasheem Green,ED,Texans,TRUE,2022,1,2750000,2750000,https://overthecap.com/player/rasheem-green/6964/,6964,"6'4""",275,USC,2018,3,79,Seahawks
Carl Granderson,ED,Saints,TRUE,2022,2,5265000,2632500,https://overthecap.com/player/carl-granderson/8353/,8353,"6'5""",254,Wyoming,2019,NA,NA,Saints
Tanoh Kpassagnon,ED,Saints,TRUE,2021,2,4500000,2250000,https://overthecap.com/player/tanoh-kpassagnon/5645/,5645,"6'7""",289,Villanova,2017,2,59,Chiefs
Tyquan Lewis,ED,Colts,TRUE,2022,1,2545000,2545000,https://overthecap.com/player/tyquan-lewis/6949/,6949,"6'4""",265,Ohio State,2018,2,64,Colts
Malik Reed,ED,Broncos,TRUE,2022,1,2433000,2433000,https://overthecap.com/player/malik-reed/8065/,8065,"6'1""",237,Nevada,2019,NA,NA,Broncos
Arnold Ebiketie,ED,Falcons,TRUE,2022,4,9694450,2423613,https://overthecap.com/player/arnold-ebiketie/10083/,10083,"6'3""",247,Penn State,2022,2,38,Falcons
Boye Mafe,ED,Seahawks,TRUE,2022,4,9392574,2348144,https://overthecap.com/player/boye-mafe/10085/,10085,"6'4""",257,Minnesota,2022,2,40,Seahawks
Justin Houston,ED,Ravens,TRUE,2022,1,2283000,2283000,https://overthecap.com/player/justin-houston/517/,517,"6'3""",258,Georgia,2011,3,70,Chiefs
Solomon Thomas,ED,Jets,TRUE,2022,1,2250000,2250000,https://overthecap.com/player/solomon-thomas/5587/,5587,"6'3""",273,Stanford,2017,1,3,NA
Kyle Van Noy,ED,Chargers,TRUE,2022,1,2250000,2250000,https://overthecap.com/player/kyle-van-noy/2979/,2979,"6'3""",245,BYU,2014,2,40,Lions
David Ojabo,ED,Ravens,TRUE,2022,4,8623670,2155918,https://overthecap.com/player/david-ojabo/10090/,10090,"6'5""",230,Michigan,2022,2,45,Ravens
Yetur Gross-Matos,ED,Panthers,TRUE,2020,4,8198828,2049707,https://overthecap.com/player/yetur-gross-matos/8778/,8778,"6'5""",264,Penn State,2020,2,38,Panthers
Josh Paschal,ED,Lions,TRUE,2022,4,8419466,2104867,https://overthecap.com/player/josh-paschal/10091/,10091,"6'3""",270,Kentucky,2022,2,46,Lions
Henry Anderson,ED,Patriots,TRUE,2022,1,2000000,2000000,https://overthecap.com/player/henry-anderson/3941/,3941,"6'6""",294,Stanford,2015,3,93,Colts
Azeez Ojulari,ED,Giants,TRUE,2021,4,6774914,1693729,https://overthecap.com/player/azeez-ojulari/9514/,9514,"6'3""",240,Georgia,2021,2,50,Giants
Darrell Taylor,ED,Seahawks,TRUE,2020,4,6764512,1691128,https://overthecap.com/player/darrell-taylor/8788/,8788,"6'3""",267,Tennessee,2020,2,48,Seahawks
Dayo Odeyingbo,ED,Colts,TRUE,2021,4,6177530,1544383,https://overthecap.com/player/dayo-odeyingbo/9518/,9518,"6'6""",276,Vanderbilt,2021,2,54,Colts
Ben Banogu,ED,Colts,TRUE,2019,4,5944506,1486127,https://overthecap.com/player/ben-banogu/7840/,7840,"6'4""",249,TCU,2019,2,49,Colts
Carlos Basham Jr.,ED,Bills,TRUE,2021,4,5624942,1406236,https://overthecap.com/player/carlos-basham-jr/9525/,9525,"6'5""",285,Wake Forest,2021,2,61,Bills
Drake Jackson,ED,49ers,TRUE,2022,4,6249510,1562378,https://overthecap.com/player/drake-jackson/10106/,10106,"6'3""",273,USC,2022,2,61,NA
Sam Williams,ED,Cowboys,TRUE,2022,4,6224254,1556064,https://overthecap.com/player/sam-williams/10101/,10101,"6'4""",258,Mississippi,2022,2,56,Cowboys
A.J. Epenesa,ED,Bills,TRUE,2020,4,5877304,1469326,https://overthecap.com/player/a-j-epenesa/8794/,8794,"6'5""",275,Iowa,2020,2,54,Bills
Kerry Hyder,ED,49ers,TRUE,2022,1,1500000,1500000,https://overthecap.com/player/kerry-hyder/3503/,3503,"6'2""",270,Texas Tech,2014,NA,NA,Jets
Joseph Ossai,ED,Bengals,TRUE,2021,4,5192616,1298154,https://overthecap.com/player/joseph-ossai/9533/,9533,"6'4""",253,Texas,2021,3,69,Bengals
Nik Bonitto,ED,Broncos,TRUE,2022,4,5801888,1450472,https://overthecap.com/player/nik-bonitto/10109/,10109,"6'3""",248,Oklahoma,2022,2,64,Broncos
Malcolm Koonce,ED,Raiders,TRUE,2021,4,4997960,1249490,https://overthecap.com/player/malcolm-koonce/9543/,9543,"6'3""",250,Buffalo,2021,3,79,Raiders
Josh Uche,ED,Patriots,TRUE,2020,4,5389336,1347334,https://overthecap.com/player/josh-uche/8800/,8800,"6'2""",250,Michigan,2020,2,60,Patriots
Chauncey Golston,ED,Cowboys,TRUE,2021,4,4916586,1229147,https://overthecap.com/player/chauncey-golston/9548/,9548,"6'5""",270,Iowa,2021,3,84,Cowboys
Patrick Jones II,ED,Vikings,TRUE,2021,4,4870096,1217524,https://overthecap.com/player/patrick-jones-ii/9554/,9554,"6'5""",260,Pittsburgh,2021,3,90,Vikings
Ronnie Perkins,ED,Patriots,TRUE,2021,4,4737991,1184498,https://overthecap.com/player/ronnie-perkins/9560/,9560,"6'3""",247,Oklahoma,2021,3,96,Patriots
Cameron Thomas,ED,Cardinals,TRUE,2022,4,5368858,1342215,https://overthecap.com/player/cameron-thomas/10132/,10132,"6'4""",267,San Diego State,2022,3,87,Cardinals
Alex Wright,ED,Browns,TRUE,2022,4,5293574,1323394,https://overthecap.com/player/alex-wright/10123/,10123,"6'5""",272,UAB,2022,3,78,Browns
DeAngelo Malone,ED,Falcons,TRUE,2022,4,5229582,1307396,https://overthecap.com/player/deangelo-malone/10127/,10127,"6'3""",239,Western Kentucky,2022,3,82,Falcons
Julian Okwara,ED,Lions,TRUE,2020,4,4931340,1232835,https://overthecap.com/player/julian-okwara/8807/,8807,"6'4""",248,Notre Dame,2020,3,67,Lions
Kentavius Street,ED,Saints,TRUE,2022,1,1265000,1265000,https://overthecap.com/player/kentavius-street/7013/,7013,"6'2""",287,North Carolina State,2018,4,128,NA
Myjai Sanders,ED,Cardinals,TRUE,2022,4,5044904,1261226,https://overthecap.com/player/myjai-sanders/10145/,10145,"6'5""",247,Cincinnati,2022,3,100,Cardinals
Cameron Sample,ED,Bengals,TRUE,2021,4,4268148,1067037,https://overthecap.com/player/cameron-sample/9575/,9575,"6'3""",280,Tulane,2021,4,111,Bengals
Elerson Smith,ED,Giants,TRUE,2021,4,4238288,1059572,https://overthecap.com/player/elerson-smith/9580/,9580,"6'6""",245,Northern Iowa,2021,4,116,Giants
Chris Rumph II,ED,Chargers,TRUE,2021,4,4233540,1058385,https://overthecap.com/player/chris-rumph-ii/9582/,9582,"6'4""",235,Duke,2021,4,118,Chargers
Jordan Smith,ED,Jaguars,TRUE,2021,4,4219588,1054897,https://overthecap.com/player/jordan-smith/9585/,9585,"6'7""",255,UAB,2021,4,121,Jaguars
Stephen Weatherly,ED,Browns,TRUE,2022,1,1200000,1200000,https://overthecap.com/player/stephen-weatherly/4940/,4940,"6'4""",267,Vanderbilt,2016,7,227,Vikings
Derek Rivers,ED,Texans,TRUE,2021,2,2100000,1050000,https://overthecap.com/player/derek-rivers/5669/,5669,"6'4""",248,Youngstown State,2017,3,83,Patriots
Terrell Lewis,ED,Rams,TRUE,2020,4,4555570,1138893,https://overthecap.com/player/terrell-lewis/8824/,8824,"6'5""",262,Alabama,2020,3,84,Rams
Shaq Lawson,ED,Bills,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/shaq-lawson/4732/,4732,"6'3""",269,Clemson,2016,1,19,Bills
Efe Obada,ED,Commanders,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/efe-obada/3831/,3831,"6'6""",255,Lambeth College,2015,NA,NA,Cowboys
Jihad Ward,ED,Giants,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/jihad-ward/4757/,4757,"6'5""",297,Illinois,2016,2,44,Raiders
Kyler Fackrell,ED,Raiders,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/kyler-fackrell/4801/,4801,"6'5""",245,Utah State,2016,3,88,Packers
Olasunkanmi Adeniyi,ED,Titans,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/olasunkanmi-adeniyi/7288/,7288,"6'1""",248,Toledo,2018,NA,NA,Steelers
Anfernee Jennings,ED,Patriots,TRUE,2020,4,4503929,1125982,https://overthecap.com/player/anfernee-jennings/8827/,8827,"6'3""",259,Alabama,2020,3,87,Patriots
Janarius Robinson,ED,Vikings,TRUE,2021,4,4145400,1036350,https://overthecap.com/player/janarius-robinson/9598/,9598,"6'5""",260,Florida State,2021,4,134,Vikings
Rashad Weaver,ED,Titans,TRUE,2021,4,4139664,1034916,https://overthecap.com/player/rashad-weaver/9599/,9599,"6'5""",270,Pittsburgh,2021,4,135,Titans
Jonathan Greenard,ED,Texans,TRUE,2020,4,4475554,1118889,https://overthecap.com/player/jonathan-greenard/8830/,8830,"6'3""",263,Florida,2020,3,90,Texans
Joshua Kaindoh,ED,Chiefs,TRUE,2021,4,3979344,994836,https://overthecap.com/player/joshua-kaindoh/9608/,9608,"6'7""",265,Florida State,2021,4,144,Chiefs
Alex Highsmith,ED,Steelers,TRUE,2020,4,4306810,1076703,https://overthecap.com/player/alex-highsmith/8842/,8842,"6'4""",242,Charlotte,2020,3,102,Steelers
Vinny Curry,ED,Jets,TRUE,2022,1,1120000,1120000,https://overthecap.com/player/vinny-curry/786/,786,"6'3""",279,Marshall,2012,2,59,Eagles
Jordan Willis,ED,49ers,TRUE,2022,1,1110000,1110000,https://overthecap.com/player/jordan-willis/5659/,5659,"6'4""",255,Kansas State,2017,3,73,Bengals
Micheal Clemons,ED,Jets,TRUE,2022,4,4424096,1106024,https://overthecap.com/player/micheal-clemons/10162/,10162,"6'6""",265,Texas A&M,2022,4,117,Jets
Daelin Hayes,ED,Ravens,TRUE,2021,4,3773216,943304,https://overthecap.com/player/daelin-hayes/9635/,9635,"6'4""",270,Notre Dame,2021,5,171,Ravens
D.J. Wonnum,ED,Vikings,TRUE,2020,4,4045780,1011445,https://overthecap.com/player/d-j-wonnum/8857/,8857,"6'5""",260,South Carolina,2020,4,117,Vikings
Adetokunbo Ogundeji,ED,Falcons,TRUE,2021,4,3720152,930038,https://overthecap.com/player/adetokunbo-ogundeji/9646/,9646,"6'4""",268,Notre Dame,2021,5,182,Falcons
Tarron Jackson,ED,Eagles,TRUE,2021,4,3669756,917439,https://overthecap.com/player/tarron-jackson/9655/,9655,"6'2""",260,Coastal Carolina,2021,6,191,Eagles
Jaylen Twyman,ED,Vikings,TRUE,2021,4,3654940,913735,https://overthecap.com/player/jaylen-twyman/9663/,9663,"6'2""",290,Pittsburgh,2021,6,199,Vikings
Victor Dimukeje,ED,Cardinals,TRUE,2021,4,3641860,910465,https://overthecap.com/player/victor-dimukeje/9674/,9674,"6'3""",265,Duke,2021,6,210,Cardinals
Jacob Tuioti-Mariner,ED,Panthers,TRUE,2021,2,1815000,907500,https://overthecap.com/player/jacob-tuioti-mariner/7657/,7657,"6'2""",262,UCLA,2018,NA,NA,Falcons
Daeshon Hall,ED,Dolphins,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/daeshon-hall/5663/,5663,"6'5""",266,Texas A&M,2017,3,77,Panthers
Taco Charlton,ED,Saints,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/taco-charlton/5612/,5612,"6'6""",277,Michigan,2017,1,28,Cowboys
Tashawn Bower,ED,Raiders,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/tashawn-bower/5892/,5892,"6'5""",236,LSU,2017,NA,NA,Vikings
Demone Harris,ED,Texans,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/demone-harris/7518/,7518,"6'4""",272,Buffalo,2018,NA,NA,Buccaneers
Shilique Calhoun,ED,Chiefs,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/shilique-calhoun/4788/,4788,"6'4""",251,Michigan State,2016,3,75,Raiders
Da'Shawn Hand,ED,Titans,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/dashawn-hand/6999/,6999,"6'4""",288,Alabama,2018,4,114,Lions
Quincy Roche,ED,NYG/PIT,TRUE,2021,4,3626576,906644,https://overthecap.com/player/quincy-roche/9680/,9680,"6'3""",245,Miami,2021,6,216,Steelers
Wyatt Hubert,ED,Bengals,TRUE,2021,4,3584204,896051,https://overthecap.com/player/wyatt-hubert/9699/,9699,"6'3""",270,Kansas State,2021,7,235,Bengals
Jonathon Cooper,ED,Broncos,TRUE,2021,4,3580672,895168,https://overthecap.com/player/jonathon-cooper/9703/,9703,"6'4""",257,Ohio State,2021,7,239,Broncos
Shaka Toney,ED,Commanders,TRUE,2021,4,3572952,893238,https://overthecap.com/player/shaka-toney/9710/,9710,"6'3""",252,Penn State,2021,7,246,Commanders
Chris Garrett,ED,Rams,TRUE,2021,4,3562116,890529,https://overthecap.com/player/chris-garrett/9716/,9716,"6'4""",245,Concordia-St. Paul,2021,7,252,Rams
Jaylon Ferguson,ED,Ravens,TRUE,2019,4,3654808,913702,https://overthecap.com/player/jaylon-ferguson/7876/,7876,"6'5""",262,Louisiana Tech,2019,3,85,Ravens
Tyreke Smith,ED,Seahawks,TRUE,2022,4,3980972,995243,https://overthecap.com/player/tyreke-smith/10203/,10203,"6'3""",255,Ohio State,2022,5,158,Seahawks
Esezi Otomewo,ED,Vikings,TRUE,2022,4,3969048,992262,https://overthecap.com/player/esezi-otomewo/10210/,10210,"6'5""",284,Minnesota,2022,5,165,Vikings
Dominique Robinson,ED,Bears,TRUE,2022,4,3933152,983288,https://overthecap.com/player/dominique-robinson/10219/,10219,"6'5""",252,Miami (OH),2022,5,174,Bears
Oshane Ximines,ED,Giants,TRUE,2019,4,3542780,885695,https://overthecap.com/player/oshane-ximines/7886/,7886,"6'4""",255,Old Dominion,2019,3,95,Giants
Kingsley Enagbare,ED,Packers,TRUE,2022,4,3902556,975639,https://overthecap.com/player/kingsley-enagbare/10224/,10224,"6'4""",271,South Carolina,2022,5,179,Packers
Kyron Johnson,ED,Eagles,TRUE,2022,4,3869928,967482,https://overthecap.com/player/kyron-johnson/10226/,10226,"6'0""",231,Kansas,2022,6,181,Eagles
Jullian Taylor,ED,Vikings,TRUE,2022,1,965000,965000,https://overthecap.com/player/jullian-taylor/7108/,7108,"6'5""",280,Temple,2018,7,223,NA
Emeke Egbule,ED,Chargers,TRUE,2022,1,965000,965000,https://overthecap.com/player/emeke-egbule/7991/,7991,"6'4""",240,Houston,2019,6,200,Chargers
Amare Barno,ED,Panthers,TRUE,2022,4,3845408,961352,https://overthecap.com/player/amare-barno/10234/,10234,"6'5""",247,Virginia Tech,2022,6,189,Panthers
Khalid Kareem,ED,Bengals,TRUE,2020,4,3649476,912369,https://overthecap.com/player/khalid-kareem/8887/,8887,"6'4""",265,Notre Dame,2020,5,147,Bengals
Alton Robinson,ED,Seahawks,TRUE,2020,4,3646344,911586,https://overthecap.com/player/alton-robinson/8888/,8888,"6'4""",260,Syracuse,2020,5,148,Seahawks
Derrek Tuszka,ED,Steelers,TRUE,2021,2,1675000,837500,https://overthecap.com/player/derrek-tuszka/8994/,8994,"6'5""",246,North Dakota State,2020,7,254,Broncos
Jabari Zuniga,ED,Jets,TRUE,2021,2,1675000,837500,https://overthecap.com/player/jabari-zuniga/8819/,8819,"6'4""",246,Florida,2020,3,79,Jets
Trevis Gipson,ED,Bears,TRUE,2020,4,3620672,905168,https://overthecap.com/player/trevis-gipson/8895/,8895,"6'4""",268,Tulsa,2020,5,155,Bears
James Houston,ED,Lions,TRUE,2022,4,3792012,948003,https://overthecap.com/player/james-houston/10262/,10262,"6'0""",244,Jackson State,2022,6,217,Lions
Cameron Goode,ED,Dolphins,TRUE,2022,4,3773256,943314,https://overthecap.com/player/cameron-goode/10269/,10269,"6'3""",232,California,2022,7,224,Dolphins
Daniel Hardy,ED,Rams,TRUE,2022,4,3759704,939926,https://overthecap.com/player/daniel-hardy/10280/,10280,"6'3""",240,Montana State,2022,7,235,Rams
Andre Anthony,ED,Buccaneers,TRUE,2022,4,3741540,935385,https://overthecap.com/player/andre-anthony/10293/,10293,"6'3""",245,LSU,2022,7,248,Buccaneers
Mike Danna,ED,Chiefs,TRUE,2020,4,3558660,889665,https://overthecap.com/player/mike-danna/8917/,8917,"6'2""",261,Michigan,2020,5,177,Chiefs
Jeffrey Gunter,ED,Bengals,TRUE,2022,4,3738036,934509,https://overthecap.com/player/jeffrey-gunter/10297/,10297,"6'4""",256,Coastal Carolina,2022,7,252,Bengals
Jesse Luketa,ED,Cardinals,TRUE,2022,4,3737012,934253,https://overthecap.com/player/jesse-luketa/10301/,10301,"6'3""",257,Penn State,2022,7,256,Cardinals
Malik Herring,ED,Chiefs,TRUE,2021,3,2450000,816667,https://overthecap.com/player/malik-herring/9814/,9814,"6'3""",280,Georgia,2021,NA,NA,Chiefs
Darius Hodge,ED,MIA/CIN,TRUE,2021,3,2450000,816667,https://overthecap.com/player/darius-hodge/9763/,9763,"6'2""",245,Marshall,2021,NA,NA,Bengals
Aaron Patrick,ED,Broncos,TRUE,2021,1,2435000,811667,https://overthecap.com/player/aaron-patrick/9446/,9446,"6'4""",245,Eastern Kentucky,2020,NA,NA,Jaguars
Anthony Nelson,ED,Buccaneers,TRUE,2019,4,3295040,823760,https://overthecap.com/player/anthony-nelson/7898/,7898,"6'7""",271,Iowa,2019,4,107,Buccaneers
Bradlee Anae,ED,Jets,TRUE,2022,1,905000,905000,https://overthecap.com/player/bradlee-anae/8919/,8919,"6'3""",265,Utah,2020,5,179,Cowboys
Austin Bryant,ED,Lions,TRUE,2019,4,3252632,813158,https://overthecap.com/player/austin-bryant/7908/,7908,"6'5""",265,Clemson,2019,4,117,Lions
Justin Lawler,ED,Titans,TRUE,2022,1,895000,895000,https://overthecap.com/player/justin-lawler/7129/,7129,"6'4""",265,SMU,2018,7,244,Rams
Jessie Lemonier,ED,Cardinals,TRUE,2022,1,895000,895000,https://overthecap.com/player/jessie-lemonier/9084/,9084,"6'3""",240,Liberty,2020,NA,NA,Chargers
Austin Larkin,ED,Panthers,TRUE,2022,1,895000,895000,https://overthecap.com/player/austin-larkin/7348/,7348,"6'3""",254,Purdue,2018,NA,NA,Cowboys
Tim Ward,ED,Jets,TRUE,2022,1,895000,895000,https://overthecap.com/player/tim-ward/8237/,8237,"6'6""",255,Old Dominion,2019,NA,NA,Chiefs
Frank Herron,ED,Panthers,TRUE,2022,1,895000,895000,https://overthecap.com/player/frank-herron/7236/,7236,"6'4""",312,LSU,2018,NA,NA,Patriots
James Smith-Williams,ED,Commanders,TRUE,2020,4,3392700,848175,https://overthecap.com/player/james-smith-williams/8969/,8969,"6'4""",265,North Carolina State,2020,7,229,Commanders
Casey Toohill,ED,PHI/WAS,TRUE,2020,4,3387032,846758,https://overthecap.com/player/casey-toohill/8973/,8973,"6'4""",250,Stanford,2020,7,233,Eagles
Mike Love,ED,Bills,TRUE,2022,2,1775000,887500,https://overthecap.com/player/mike-love/7215/,7215,"6'4""",266,South Florida,2018,NA,NA,Bills
Jonathan Garvin,ED,Packers,TRUE,2020,4,3374284,843571,https://overthecap.com/player/jonathan-garvin/8982/,8982,"6'4""",263,Miami,2020,7,242,Packers
Christopher Allen,ED,Broncos,TRUE,2022,3,2590000,863333,https://overthecap.com/player/christopher-allen/10311/,10311,"6'4""",238,Alabama,2022,NA,NA,Broncos
Zach McCloud,ED,Vikings,TRUE,2022,3,2585000,861667,https://overthecap.com/player/zach-mccloud/10487/,10487,"6'2""",246,Miami,2022,NA,NA,Vikings
Jeremiah Moon,ED,Ravens,TRUE,2022,3,2580000,860000,https://overthecap.com/player/jeremiah-moon/10391/,10391,"6'5""",247,Florida,2022,NA,NA,Ravens
Arron Mosby,ED,Panthers,TRUE,2022,3,2580000,860000,https://overthecap.com/player/arron-mosby/10406/,10406,"6'3""",250,Fresno State,2022,NA,NA,Panthers
Tariqious Tisdale,ED,Bengals,TRUE,2022,3,2580000,860000,https://overthecap.com/player/tariqious-tisdale/10510/,10510,"6'5""",285,Mississippi,2022,NA,NA,Bengals
Zach VanValkenburg,ED,Raiders,TRUE,2022,3,2575000,858333,https://overthecap.com/player/zach-vanvalkenburg/10444/,10444,"6'5""",263,Iowa,2022,NA,NA,Raiders
Jacub Panasiuk,ED,Commanders,TRUE,2022,3,2575000,858333,https://overthecap.com/player/jacub-panasiuk/10497/,10497,"6'3""",253,Michigan State,2022,NA,NA,Commanders
De'Shaan Dixon,ED,Jaguars,TRUE,2022,3,2572000,857333,https://overthecap.com/player/deshaan-dixon/10522/,10522,"6'4""",247,Norfolk State,2022,NA,NA,Jaguars
Myron Tagovailoa-Amosa,ED,Raiders,TRUE,2022,3,2570000,856667,https://overthecap.com/player/myron-tagovailoa-amosa/10542/,10542,"6'2""",270,Notre Dame,2022,NA,NA,Raiders
Kingsley Jonathan,ED,Bills,TRUE,2022,3,2570000,856667,https://overthecap.com/player/kingsley-jonathan/10603/,10603,"6'3""",259,Syracuse,2022,NA,NA,Bills
Carson Wells,ED,Bengals,TRUE,2022,3,2570000,856667,https://overthecap.com/player/carson-wells/10376/,10376,"6'3""",241,Colorado,2022,NA,NA,Bengals
Tomon Fox,ED,Giants,TRUE,2022,3,2570000,856667,https://overthecap.com/player/tomon-fox/10527/,10527,"6'2""",253,North Carolina,2022,NA,NA,Giants
Chauncey Manac,ED,Packers,TRUE,2022,3,2568000,856000,https://overthecap.com/player/chauncey-manac/10460/,10460,"6'3""",246,Louisiana,2022,NA,NA,Packers
T.D. Moultry,ED,Steelers,TRUE,2022,3,2567500,855833,https://overthecap.com/player/t-d-moultry/10334/,10334,"6'0""",246,Auburn,2022,NA,NA,Steelers
Charles Wiley,ED,Ravens,TRUE,2022,3,2567000,855667,https://overthecap.com/player/charles-wiley/10660/,10660,"6'2""",251,UTSA,2022,NA,NA,Ravens
Big Kat Bryant,ED,Cowboys,TRUE,2022,3,2565000,855000,https://overthecap.com/player/big-kat-bryant/10633/,10633,"6'4""",254,Central Florida,2022,NA,NA,Cowboys
Scott Patchan,ED,Colts,TRUE,2022,3,2565000,855000,https://overthecap.com/player/scott-patchan/10380/,10380,"6'4""",251,Colorado State,2022,NA,NA,Colts
Mika Tafua,ED,Cowboys,TRUE,2022,3,2565000,855000,https://overthecap.com/player/mika-tafua/10654/,10654,"6'3""",249,Utah,2022,NA,NA,Cowboys
Josh Onujiogu,ED,Seahawks,TRUE,2022,3,2565000,855000,https://overthecap.com/player/josh-onujiogu/10405/,10405,"6'3""",252,Framingham State,2022,NA,NA,Seahawks
