player,position,team,is_active,year_signed,years,value,apy,player_page,otc_id,height,weight,college,draft_year,draft_round,draft_overall,draft_team
Micah Dew-Treadway,IDL,Bears,TRUE,2022,3,2565000,855000,https://overthecap.com/player/micah-dew-treadway/10503/,10503,"6'4""",308,Minnesota,2022,NA,NA,Bears
Kevin Atkins,IDL,49ers,TRUE,2022,3,2565000,855000,https://overthecap.com/player/kevin-atkins/10407/,10407,"6'2""",314,Fresno State,2022,NA,NA,NA
Derrick Tangelo,IDL,Falcons,TRUE,2022,3,2565000,855000,https://overthecap.com/player/derrick-tangelo/10569/,10569,"6'2""",296,Penn State,2022,NA,NA,Falcons
C.J. Brewer,IDL,Bills,TRUE,2022,3,2562500,854167,https://overthecap.com/player/c-j-brewer/10764/,10764,"6'2""",290,Costal Carolina,2022,NA,NA,Bills
Bryce Rodgers,IDL,Falcons,TRUE,2022,3,2562500,854167,https://overthecap.com/player/bryce-rodgers/10631/,10631,"6'2""",309,UC Davis,2022,NA,NA,Falcons
Israel Antwine,IDL,Jaguars,TRUE,2022,3,2562000,854000,https://overthecap.com/player/israel-antwine/10551/,10551,"6'3""",309,Oklahoma State,2022,NA,NA,Jaguars
Tyarise Stevenson,IDL,Vikings,TRUE,2022,3,2560250,853417,https://overthecap.com/player/tyarise-stevenson/10629/,10629,"6'2""",352,Tulsa,2022,NA,NA,Vikings
McKinley Williams,IDL,Colts,TRUE,2022,3,2560000,853333,https://overthecap.com/player/mckinley-williams/10604/,10604,"6'4""",291,Syracuse,2022,NA,NA,Colts
Jayden Peevy,IDL,Titans,TRUE,2022,3,2560000,853333,https://overthecap.com/player/jayden-peevy/10620/,10620,"6'5""",308,Texas A&M,2022,NA,NA,Titans
Jordan Williams,IDL,Dolphins,TRUE,2022,3,2560000,853333,https://overthecap.com/player/jordan-williams/10676/,10676,"6'4""",291,Virginia Tech,2022,NA,NA,Dolphins
David Anenih,IDL,Titans,TRUE,2022,3,2560000,853333,https://overthecap.com/player/david-anenih/10420/,10420,"6'2""",245,Houston,2022,NA,NA,Titans
Roderick Perry II,IDL,Browns,TRUE,2022,3,2560000,853333,https://overthecap.com/player/roderick-perry-ii/10432/,10432,"6'1""",304,Illinois,2022,NA,NA,Browns
Timmy Horne,IDL,Falcons,TRUE,2022,3,2560000,853333,https://overthecap.com/player/timmy-horne/10451/,10451,"6'4""",323,Kansas State,2022,NA,NA,Falcons
Glen Logan,IDL,Browns,TRUE,2022,3,2560000,853333,https://overthecap.com/player/glen-logan/10467/,10467,"6'3""",298,LSU,2022,NA,NA,Browns
