ID,OffensiveYardarge,RB,TE,Down,ToGo,TotalToGo,Formation,EPA,RusherStrength,BlockerStrength,DefenderStrength
5061,15,1,1,1,10,75,3-4,0.898595,0.005826642007296648,0.031765010644784576,0.01578159164306022
5066,7,1,3,1,10,65,4-3,0.417037,0.046262635908784364,0.05799156209254766,0.02458606684442375
5067,4,1,1,2,3,58,4-3,0.145906,0.046262635908784364,0.05799156209254766,0.02458606684442375
5078,5,1,2,2,5,79,3-4,0.565377,0.005826642007296648,0.031765010644784576,0.013514861175749557
5080,3,1,1,1,10,58,3-4,-0.112859,0.005826642007296648,0.031765010644784576,0.016383510276662388
5081,2,1,1,2,7,55,3-4,-0.455611,0.005826642007296648,0.031765010644784576,0.016435561700965624
5083,5,1,1,1,10,78,4-3,0.083826,0.046262635908784364,0.05799156209254766,0.02458606684442375
5084,-1,1,3,2,5,73,4-3,-0.939667,0.046262635908784364,0.05799156209254766,0.03017007771152506
5090,4,1,1,1,10,75,3-4,-0.063134,0.005826642007296648,0.031765010644784576,0.019268974785103952
5092,1,1,1,1,10,24,4-3,-0.327202,0.046262635908784364,0.05799156209254766,0.02458606684442375
5094,7,1,2,1,10,75,3-4,0.587494,0.005826642007296648,0.031765010644784576,0.013514861175749557
5096,6,1,1,3,1,66,4-3,0.925222,0.005826642007296648,0.031765010644784576,0.013514861175749557
5098,0,1,1,2,10,60,3-4,-1.051423,0.005826642007296648,0.031765010644784576,0.012849750324824584
5133,0,1,2,1,10,35,4-3,-0.555165,0.046262635908784364,0.05799156209254766,0.02458606684442375
5137,-3,1,1,2,4,74,3-4,-1.280563,0.005826642007296648,0.031765010644784576,0.016495532680184298
5139,3,1,2,1,10,79,4-3,-0.328773,0.046262635908784364,0.05799156209254766,0.019855537674927422
5142,3,1,1,2,6,59,4-3,-0.249852,0.046262635908784364,0.05799156209254766,0.011865152844796174
5143,1,1,1,3,3,56,4-3,-1.330017,0.046262635908784364,0.05799156209254766,0.023320417007733935
5154,0,1,1,2,3,77,3-4,-0.804965,0.005826642007296648,0.031765010644784576,0.020081344056325338
5179,6,1,2,1,10,68,4-3,0.211058,0.046262635908784364,0.05799156209254766,0.02458606684442375
5180,3,1,1,2,4,62,4-3,-0.122567,0.046262635908784364,0.05799156209254766,0.02458606684442375
5181,4,1,2,3,1,59,4-3,0.56239,0.046262635908784364,0.05799156209254766,0.03003226887462948
5182,0,1,2,1,10,55,4-3,-0.449096,0.046262635908784364,0.05799156209254766,0.02458606684442375
5195,2,1,3,1,10,45,4-3,-0.283832,0.046262635908784364,0.05799156209254766,0.008821997217918992
5196,5,1,2,2,8,43,4-3,-0.063571,0.046262635908784364,0.05799156209254766,0.008821997217918992
5197,-1,1,2,3,3,38,4-3,-1.31856,0.046262635908784364,0.05799156209254766,0.017421013173425676
5199,-2,1,3,1,10,29,4-3,-0.709908,0.046262635908784364,0.05799156209254766,0.008821997217918992
5200,-1,1,3,2,12,31,4-3,-0.959772,0.046262635908784364,0.05799156209254766,0.008821997217918992
5202,20,1,1,1,10,64,3-4,1.135169,0.04829315624473296,0.045690494697898404,0.023048012082230382
5204,1,1,2,2,6,40,3-4,-0.630665,0.04829315624473296,0.045690494697898404,0.012438893826045974
5207,0,1,1,1,10,60,3-4,-0.558819,0.043873864767647694,0.039822578434078174,0.028913907235600087
5211,5,1,1,2,4,79,3-4,0.380174,0.04829315624473296,0.045690494697898404,0.00608756605570592
5213,4,1,1,2,5,69,3-4,-0.102358,0.04829315624473296,0.045690494697898404,0.011914625623425457
5214,0,1,1,3,1,65,3-4,-1.487547,0.04829315624473296,0.045690494697898404,0.009928854686187882
5217,0,1,1,3,1,76,3-4,-1.717345,0.043873864767647694,0.039822578434078174,0.019572916591597978
5225,13,1,1,2,5,24,3-4,0.894442,0.04829315624473296,0.045690494697898404,0.003935314875056286
5233,8,1,1,1,10,75,3-4,0.880613,0.043873864767647694,0.039822578434078174,0.01916368166911336
5234,6,1,1,2,2,67,3-4,-0.013089,0.043873864767647694,0.039822578434078174,0.01916368166911336
5238,2,1,2,1,10,28,3-4,-0.252003,0.04829315624473296,0.045690494697898404,0.004601629992795218
5246,0,1,1,1,10,54,3-4,-0.47276,0.043873864767647694,0.039822578434078174,0.028913907235600087
5252,5,1,1,1,10,75,4-3,0.138211,0.04829315624473296,0.045690494697898404,0.006510885936187881
5253,0,1,1,2,5,70,3-4,-0.832373,0.04829315624473296,0.045690494697898404,0.011621243087733395
5265,-1,1,2,1,10,79,3-4,-0.731873,0.04829315624473296,0.045690494697898404,0.00164420774298509
5269,2,1,1,1,10,26,3-4,-0.251616,0.043873864767647694,0.039822578434078174,0.028913907235600087
5278,50,1,3,4,1,50,3-4,5.061714,0.04829315624473296,0.045690494697898404,0.014336847165784304
5282,2,1,2,1,10,60,3-4,-0.205703,0.04829315624473296,0.045690494697898404,0.006510885936187881
5284,-1,1,2,1,5,44,3-4,-0.403096,0.04829315624473296,0.045690494697898404,0.006510885936187881
5285,6,1,1,2,6,45,3-4,0.561524,0.04829315624473296,0.045690494697898404,0.007813063123425458
5286,5,1,1,1,10,39,3-4,-0.03893,0.04829315624473296,0.045690494697898404,0.0032794290625469047
5288,-2,1,2,1,10,28,3-4,-0.678424,0.04829315624473296,0.045690494697898404,0.0028109391964687754
5296,6,1,1,1,10,75,3-4,0.355489,0.043873864767647694,0.039822578434078174,0.030320775351581276
5299,-5,1,1,1,10,27,3-4,-0.914052,0.043873864767647694,0.039822578434078174,0.017756813553132172
5303,1,1,1,2,4,62,3-4,-0.648756,0.04829315624473296,0.045690494697898404,0.013603632274199858
5304,3,1,1,3,3,61,3-4,0.927248,0.04829315624473296,0.045690494697898404,0.010882905819359886
5305,0,1,3,1,10,58,4-3,-0.458181,0.04829315624473296,0.045690494697898404,0.014076758158332049
5308,-4,1,3,1,10,46,4-3,-0.906614,0.04829315624473296,0.045690494697898404,0.009609299968327363
5311,8,1,3,1,10,26,4-3,0.232998,0.04829315624473296,0.045690494697898404,0.005466722652588331
5332,2,1,2,2,4,69,3-4,-0.639306,0.009620583780923406,0.034712080305243136,0.02674109687121545
5341,2,2,1,1,10,75,3-4,-0.376269,0.009620583780923406,0.034712080305243136,0.034149701514226055
5344,-1,1,1,1,10,58,3-4,-0.631054,0.01625963808332278,0.0361047542210841,0.0351993264715803
5347,0,1,1,1,10,31,3-4,-0.475589,0.01625963808332278,0.0361047542210841,0.01808128149425922
5348,7,1,1,2,10,31,3-4,0.205278,0.01625963808332278,0.0361047542210841,0.016720247798889934
5357,3,1,1,1,15,31,3-4,0.024149,0.01625963808332278,0.0361047542210841,0.014146915122790156
5369,2,1,2,4,1,61,3-4,2.450812,0.009620583780923406,0.034712080305243136,0.025068226006034672
5371,9,1,1,2,10,59,3-4,0.832371,0.009620583780923406,0.034712080305243136,0.02388148731981813
5372,-1,1,3,3,1,50,3-4,-1.987792,0.009620583780923406,0.034712080305243136,0.025068226006034672
5375,0,1,2,1,10,27,3-4,-0.373674,0.009620583780923406,0.034712080305243136,0.02674109687121545
5383,1,1,1,1,10,75,3-4,-0.491758,0.01625963808332278,0.0361047542210841,0.0351993264715803
5392,5,1,1,1,10,75,3-4,0.138211,0.01625963808332278,0.0361047542210841,0.030799820962553664
5399,4,1,1,1,10,75,3-4,-0.063134,0.009620583780923406,0.034712080305243136,0.02969075780742726
