ID,OffensiveYardarge,Down,ToGo,TotalToGo,Formation,EPA,ScramblerStrength,BlockerStrength,DefenderStrength
560,6,3,5,70,0-0,1.337844,0.023141448544722432,0.04219553610623163,0.023512464330371085
585,23,1,10,52,4-3,1.398429,0.03796216075595333,0.03446802007773319,0.028222858783144757
623,9,1,10,55,0-0,0.61186,0.03796216075595333,0.03446802007773319,0.028499403396040533
644,11,2,2,67,4-3,0.231801,0.046262635908784364,0.05799156209254766,0.00581561027438877
647,16,3,15,61,4-3,3.058514,0.046262635908784364,0.05799156209254766,0.0034289276807980052
657,3,1,20,69,4-3,-0.322399,0.046262635908784364,0.05799156209254766,0.0055374112263577874
659,10,3,6,55,4-3,1.560375,0.046262635908784364,0.05799156209254766,0.0034289276807980052
701,10,2,14,68,4-3,0.486379,0.046262635908784364,0.05799156209254766,0.0034289276807980052
730,6,1,10,49,4-3,0.164452,0.046262635908784364,0.05799156209254766,0.0031587826190266543
780,2,3,1,48,4-3,0.400713,0.011854745019880705,0.03659961964607415,0.016353721665872758
906,10,2,10,69,4-3,1.027323,0.011854745019880705,0.03659961964607415,0.02827139049352993
967,2,3,12,46,3-4,-1.084919,0.02520849962944511,0.029556172413161892,0.02580585566845192
1096,8,3,8,73,0-0,1.645999,0.020395248825219717,0.05300431051629475,0.016023695020676198
1175,3,1,10,33,3-4,-0.175229,0.005826642007296648,0.031765010644784576,0.03134144633182485
1243,8,1,10,65,4-3,0.727584,0.005826642007296648,0.031765010644784576,0.021109189326428048
1265,3,1,10,78,4-3,-0.299223,0.005826642007296648,0.031765010644784576,0.01916368166911336
